# darshan log version: 3.21
# compression method: ZLIB
# exe: /scratch1/06058/iwang/benchmarks/specfem3d/tinytest_rtx_8_adios_darshan/bin/xmeshfem3D 
# uid: 853572
# jobid: 2172550
# start_time: 1608328864
# start_time_asci: Fri Dec 18 16:01:04 2020
# end_time: 1608328899
# end_time_asci: Fri Dec 18 16:01:39 2020
# nprocs: 8
# run time: 36
# metadata: lib_ver = 3.2.1
# metadata: h = romio_no_indep_rw=true;cb_nodes=4

# log file regions
# -------------------------------------------------------
# header: 360 bytes (uncompressed)
# job data: 281 bytes (compressed)
# record table: 532 bytes (compressed)
# POSIX module: 2192 bytes (compressed), ver=4
# MPI-IO module: 913 bytes (compressed), ver=3
# STDIO module: 178 bytes (compressed), ver=2
# DXT_POSIX module: 14755 bytes (compressed), ver=1
# DXT_MPIIO module: 4407 bytes (compressed), ver=2

# mounted file systems (mount point and fs type)
# -------------------------------------------------------
# mount entry:	/proc/sys/fs/binfmt_misc	autofs
# mount entry:	/sys/kernel/config	configfs
# mount entry:	/sys/fs/pstore	pstore
# mount entry:	/dev/mqueue	mqueue
# mount entry:	/scratch2	lustre
# mount entry:	/scratch3	lustre
# mount entry:	/scratch1	lustre
# mount entry:	/home1	lustre
# mount entry:	/admin	nfs
# mount entry:	/boot	xfs
# mount entry:	/work	lustre
# mount entry:	/dev	devtmpfs
# mount entry:	/tmp	xfs
# mount entry:	/var	xfs
# mount entry:	/	rootfs
# mount entry:	/	xfs

# ***************************************************
# DXT_POSIX module data
# ***************************************************

# DXT, file_id: 5332043150047334746, file_name: /scratch1/06058/iwang/benchmarks/specfem3d/tinytest_rtx_8_adios_darshan/OUTPUT_FILES/output_mesher.txt
# DXT, rank: 0, hostname: c197-052.frontera.tacc.utexas.edu
# DXT, write_count: 515, read_count: 0
# DXT, mnt_pt: /scratch1, fs_type: lustre
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       0  write      242            7919              65     33.6604     33.6604
 X_POSIX       0  write      243            7984              62     34.4227     34.4228
 X_POSIX       0  write      244            8046              65     34.4378     34.4378
 X_POSIX       0  write      245            8111              69     34.5570     34.5570
 X_POSIX       0  write      246            8180               2     34.5655     34.5655
 X_POSIX       0  write      247            8182              50     34.5656     34.5656
 X_POSIX       0  write      248            8232              50     34.5656     34.5656
 X_POSIX       0  write      249            8282               2     34.5715     34.5716
 X_POSIX       0  write      250            8284              45     34.5716     34.5716
 X_POSIX       0  write      251            8329              38     34.5716     34.5716
 X_POSIX       0  write      252            8367              31     34.5716     34.5716
 X_POSIX       0  write      253            8398              45     34.5716     34.5716
 X_POSIX       0  write      254            8443               2     34.5716     34.5716
 X_POSIX       0  write      255            8445               2     34.5720     34.5720
 X_POSIX       0  write      256            8447              12     34.5720     34.5720
 X_POSIX       0  write      257            8459               2     34.5720     34.5720
 X_POSIX       0  write      258            8461              25     34.5720     34.5721
 X_POSIX       0  write      259            8486               2     34.5730     34.5731
 X_POSIX       0  write      260            8488              25     34.5731     34.5731
 X_POSIX       0  write      261            8513               2     34.5734     34.5734
 X_POSIX       0  write      262            8515              30     34.5734     34.5734
 X_POSIX       0  write      263            8545              51     34.5734     34.5734
 X_POSIX       0  write      264            8596              67     34.5745     34.5745
 X_POSIX       0  write      265            8663              51     34.5745     34.5745
 X_POSIX       0  write      266            8714              67     34.5763     34.5763
 X_POSIX       0  write      267            8781               2     34.5763     34.5763
 X_POSIX       0  write      268            8783               2     34.5763     34.5763
 X_POSIX       0  write      269            8785              33     34.5764     34.5764
 X_POSIX       0  write      270            8818               2     34.5854     34.5854
 X_POSIX       0  write      271            8820              27     34.5854     34.5854
 X_POSIX       0  write      272            8847               2     34.5902     34.5902
 X_POSIX       0  write      273            8849              13     34.5902     34.5902
 X_POSIX       0  write      274            8862               2     34.5902     34.5902
 X_POSIX       0  write      275            8864              25     34.5902     34.5902
 X_POSIX       0  write      276            8889               2     34.5917     34.5917
 X_POSIX       0  write      277            8891              25     34.5917     34.5917
 X_POSIX       0  write      278            8916               2     34.5919     34.5919
 X_POSIX       0  write      279            8918              30     34.5919     34.5919
 X_POSIX       0  write      280            8948              51     34.5919     34.5920
 X_POSIX       0  write      281            8999              67     34.6162     34.6162
 X_POSIX       0  write      282            9066              51     34.6162     34.6162
 X_POSIX       0  write      283            9117              67     34.6606     34.6606
 X_POSIX       0  write      284            9184               2     34.6606     34.6606
 X_POSIX       0  write      285            9186               2     34.6685     34.6685
 X_POSIX       0  write      286            9188              32     34.6685     34.6685
 X_POSIX       0  write      287            9220               2     34.6687     34.6687
 X_POSIX       0  write      288            9222              45     34.6687     34.6687
 X_POSIX       0  write      289            9267               2     34.6751     34.6751
 X_POSIX       0  write      290            9269              36     34.6751     34.6751
 X_POSIX       0  write      291            9305              36     34.6751     34.6751
 X_POSIX       0  write      292            9341              36     34.6751     34.6751
 X_POSIX       0  write      293            9377              24     34.6751     34.6751
 X_POSIX       0  write      294            9401               2     34.6751     34.6751
 X_POSIX       0  write      295            9403              49     34.6751     34.6751
 X_POSIX       0  write      296            9452              49     34.6751     34.6751
 X_POSIX       0  write      297            9501              35     34.6751     34.6751
 X_POSIX       0  write      298            9536               2     34.6751     34.6751
 X_POSIX       0  write      299            9538              51     34.6751     34.6751
 X_POSIX       0  write      300            9589              51     34.6751     34.6752
 X_POSIX       0  write      301            9640               2     34.6752     34.6752
 X_POSIX       0  write      302            9642              50     34.6752     34.6752
 X_POSIX       0  write      303            9692              62     34.6752     34.6752
 X_POSIX       0  write      304            9754              54     34.6752     34.6752
 X_POSIX       0  write      305            9808               2     34.6752     34.6752
 X_POSIX       0  write      306            9810              33     34.6752     34.6752
 X_POSIX       0  write      307            9843              55     34.6752     34.6752
 X_POSIX       0  write      308            9898              36     34.6752     34.6752
 X_POSIX       0  write      309            9934               2     34.6752     34.6752
 X_POSIX       0  write      310            9936               2     34.6752     34.6752
 X_POSIX       0  write      311            9938              28     34.6752     34.6752
 X_POSIX       0  write      312            9966               2     34.6754     34.6755
 X_POSIX       0  write      313            9968              29     34.6755     34.6755
 X_POSIX       0  write      314            9997               2     34.6755     34.6755
 X_POSIX       0  write      315            9999              36     34.6755     34.6755
 X_POSIX       0  write      316           10035               2     34.6755     34.6755
 X_POSIX       0  write      317           10037              55     34.6755     34.6755
 X_POSIX       0  write      318           10092              56     34.6755     34.6755
 X_POSIX       0  write      319           10148              56     34.6755     34.6755
 X_POSIX       0  write      320           10204              32     34.6755     34.6755
 X_POSIX       0  write      321           10236              60     34.6755     34.6755
 X_POSIX       0  write      322           10296               2     34.6755     34.6755
 X_POSIX       0  write      323           10298              77     34.6755     34.6755
 X_POSIX       0  write      324           10375               2     34.6755     34.6755
 X_POSIX       0  write      325           10377               2     34.6755     34.6756
 X_POSIX       0  write      326           10379              49     34.6756     34.6756
 X_POSIX       0  write      327           10428               2     34.6756     34.6756
 X_POSIX       0  write      328           10430               2     34.6756     34.6756
 X_POSIX       0  write      329           10432              31     34.6756     34.6756
 X_POSIX       0  write      330           10463               2     34.6757     34.6757
 X_POSIX       0  write      331           10465              20     34.6757     34.6757
 X_POSIX       0  write      332           10485              68     34.6758     34.6758
 X_POSIX       0  write      333           10553              69     34.6758     34.6758
 X_POSIX       0  write      334           10622               2     34.6758     34.6758
 X_POSIX       0  write      335           10624              70     34.6758     34.6758
 X_POSIX       0  write      336           10694              70     34.6758     34.6758
 X_POSIX       0  write      337           10764               2     34.6758     34.6758
 X_POSIX       0  write      338           10766              17     34.6759     34.6759
 X_POSIX       0  write      339           10783              35     34.6786     34.6786
 X_POSIX       0  write      340           10818              50     34.6787     34.6787
 X_POSIX       0  write      341           10868              40     34.6787     34.6787
 X_POSIX       0  write      342           10908               2     34.6787     34.6787
 X_POSIX       0  write      343           10910              45     34.6788     34.6788
 X_POSIX       0  write      344           10955              45     34.6788     34.6788
 X_POSIX       0  write      345           11000              45     34.6788     34.6788
 X_POSIX       0  write      346           11045              53     34.6789     34.6789
 X_POSIX       0  write      347           11098               2     34.6789     34.6790
 X_POSIX       0  write      348           11100               2     34.6790     34.6790
 X_POSIX       0  write      349           11102              38     34.6790     34.6790
 X_POSIX       0  write      350           11140              61     34.6790     34.6790
 X_POSIX       0  write      351           11201              63     34.6790     34.6790
 X_POSIX       0  write      352           11264               2     34.6790     34.6790
 X_POSIX       0  write      353           11266               2     34.6790     34.6790
 X_POSIX       0  write      354           11268              29     34.6790     34.6790
 X_POSIX       0  write      355           11297              21     34.6790     34.6790
 X_POSIX       0  write      356           11318               2     34.6790     34.6791
 X_POSIX       0  write      357           11320              27     34.6791     34.6791
 X_POSIX       0  write      358           11347               2     34.6800     34.6801
 X_POSIX       0  write      359           11349              26     34.6801     34.6801
 X_POSIX       0  write      360           11375              26     34.6801     34.6801
 X_POSIX       0  write      361           11401              65     34.6802     34.6803
 X_POSIX       0  write      362           11466              62     34.7626     34.7626
 X_POSIX       0  write      363           11528              65     34.7707     34.7708
 X_POSIX       0  write      364           11593              69     34.7950     34.7951
 X_POSIX       0  write      365           11662               2     34.8016     34.8016
 X_POSIX       0  write      366           11664              50     34.8016     34.8016
 X_POSIX       0  write      367           11714              50     34.8016     34.8016
 X_POSIX       0  write      368           11764               2     34.8019     34.8020
 X_POSIX       0  write      369           11766              45     34.8020     34.8020
 X_POSIX       0  write      370           11811              38     34.8020     34.8020
 X_POSIX       0  write      371           11849              31     34.8020     34.8020
 X_POSIX       0  write      372           11880              45     34.8020     34.8020
 X_POSIX       0  write      373           11925               2     34.8020     34.8020
 X_POSIX       0  write      374           11927               2     34.8020     34.8020
 X_POSIX       0  write      375           11929              12     34.8020     34.8020
 X_POSIX       0  write      376           11941               2     34.8021     34.8021
 X_POSIX       0  write      377           11943              25     34.8021     34.8021
 X_POSIX       0  write      378           11968               2     34.8022     34.8022
 X_POSIX       0  write      379           11970              25     34.8022     34.8022
 X_POSIX       0  write      380           11995               2     34.8023     34.8023
 X_POSIX       0  write      381           11997              30     34.8023     34.8023
 X_POSIX       0  write      382           12027              51     34.8024     34.8024
